strain	date	country	division	author	author__url	accession	accession__url
Gueckedou-C05	2014-03-19	Guinea	Gueckedou	Baize et al	https://www.ncbi.nlm.nih.gov/pubmed/24738640	KJ660348	https://www.ncbi.nlm.nih.gov/nuccore/KJ660348
EM_079542	2014-04-12	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817199	https://www.ncbi.nlm.nih.gov/nuccore/KR817199
EM_079517	2014-04-11	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817198	https://www.ncbi.nlm.nih.gov/nuccore/KR817198
EM_079549	2014-04-13	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817200	https://www.ncbi.nlm.nih.gov/nuccore/KR817200
EM_079429	2014-04-02	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817190	https://www.ncbi.nlm.nih.gov/nuccore/KR817190
EM_079434	2014-04-02	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817191	https://www.ncbi.nlm.nih.gov/nuccore/KR817191
EM_079424	2014-03-27	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817189	https://www.ncbi.nlm.nih.gov/nuccore/KR817189
EM_079422	2014-03-27	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817187	https://www.ncbi.nlm.nih.gov/nuccore/KR817187
EM_079421	2014-03-30	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817186	https://www.ncbi.nlm.nih.gov/nuccore/KR817186
EM_079423	2014-03-27	Guinea	Macenta	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817188	https://www.ncbi.nlm.nih.gov/nuccore/KR817188
Gueckedou-C07	2014-03-20	Guinea	Gueckedou	Baize et al	https://www.ncbi.nlm.nih.gov/pubmed/24738640	KJ660347	https://www.ncbi.nlm.nih.gov/nuccore/KJ660347
EM_079497	2014-04-07	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817196	https://www.ncbi.nlm.nih.gov/nuccore/KR817196
EM_079414	2014-03-31	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817185	https://www.ncbi.nlm.nih.gov/nuccore/KR817185
EM_079413	2014-03-31	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817184	https://www.ncbi.nlm.nih.gov/nuccore/KR817184
EM_079750	2014-05-21	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817213	https://www.ncbi.nlm.nih.gov/nuccore/KR817213
EM_079815	2014-05-28	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817217	https://www.ncbi.nlm.nih.gov/nuccore/KR817217
EM_079775	2014-05-24	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817216	https://www.ncbi.nlm.nih.gov/nuccore/KR817216
EM_079859	2014-06-01	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817218	https://www.ncbi.nlm.nih.gov/nuccore/KR817218
EM_079914	2014-06-10	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817225	https://www.ncbi.nlm.nih.gov/nuccore/KR817225
EM_074354	2014-07-22	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817113	https://www.ncbi.nlm.nih.gov/nuccore/KR817113
EM_079912	2014-06-09	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817223	https://www.ncbi.nlm.nih.gov/nuccore/KR817223
EM_079913	2014-06-09	Guinea	Gueckedou	Carroll et al	https://www.ncbi.nlm.nih.gov/pubmed/26083749	KR817224	https://www.ncbi.nlm.nih.gov/nuccore/KR817224
