strain	date	clade	region	country	host	author	accession	accession__url
PQ441952	1971-12-31 (1971-02-16 - 1971-12-31)	Clade I	Africa	Angola	Homo sapiens	Peng et al.	PQ441952	https://www.ncbi.nlm.nih.gov/nuccore/PQ441952
KX982182	2016-03-16	Clade I	Africa	Angola	Homo sapiens	Simon-Loriere et al.	KX982182	https://www.ncbi.nlm.nih.gov/nuccore/KX982182
PQ186341	1993-02-22	Clade II	Africa	Kenya	Homo sapiens	Zhang et al.	PQ186341	https://www.ncbi.nlm.nih.gov/nuccore/PQ186341
PQ441951	2003-03-09 (2003-01-01 - 2003-12-31)	Clade II	Africa	Sudan	Homo sapiens	Peng et al.	PQ441951	https://www.ncbi.nlm.nih.gov/nuccore/PQ441951
PQ186358	2003-11-09 (2003-01-01 - 2003-12-31)	Clade II	Africa	Sudan	Homo sapiens	Zhang et al.	PQ186358	https://www.ncbi.nlm.nih.gov/nuccore/PQ186358
PQ186348	1966-10-26 (1966-01-01 - 1966-12-31)	Clade III	Africa	Ethiopia	Homo sapiens	Zhang et al.	PQ186348	https://www.ncbi.nlm.nih.gov/nuccore/PQ186348
MW960207	2018-01-01 (2018-01-01 - 2018-11-21)	Clade III	Africa	Central African Republic	Homo sapiens	Simo Tchetgna et al.	MW960207	https://www.ncbi.nlm.nih.gov/nuccore/MW960207
JN620362	2010-10-31 (2010-10-04 - 2010-10-31)	Clade III	Africa	Uganda	Homo sapiens	McMullan et al.	JN620362	https://www.ncbi.nlm.nih.gov/nuccore/JN620362
JX898869	1973-01-01 (1973-01-01 - 1973-11-25)	Clade IV	Africa	Côte d'Ivoire	Aedes africanus	Stock et al.	JX898869	https://www.ncbi.nlm.nih.gov/nuccore/JX898869
PQ186340	1970-01-01 (1970-01-01 - 1970-11-25)	Clade IV	Africa	Nigeria	Homo sapiens	Zhang et al.	PQ186340	https://www.ncbi.nlm.nih.gov/nuccore/PQ186340
PQ186353	1970-01-01 (1970-01-01 - 1970-11-25)	Clade IV	Africa	Nigeria	Homo sapiens	Zhang et al.	PQ186353	https://www.ncbi.nlm.nih.gov/nuccore/PQ186353
KU978763	1946-12-31 (1946-06-20 - 1946-12-31)	Clade IV	Africa	Nigeria	Homo sapiens	Guerbois et al.	KU978763	https://www.ncbi.nlm.nih.gov/nuccore/KU978763
PQ441956	1987-05-23	Clade IV	Africa	Nigeria	Homo sapiens	Peng et al.	PQ441956	https://www.ncbi.nlm.nih.gov/nuccore/PQ441956
PQ186356	1983-11-30 (1983-11-04 - 1983-11-30)	Clade IV	Africa	Burkina Faso	Homo sapiens	Zhang et al.	PQ186356	https://www.ncbi.nlm.nih.gov/nuccore/PQ186356
PQ186357	1983-11-01 (1983-11-01 - 1983-11-27)	Clade IV	Africa	Burkina Faso	Homo sapiens	Zhang et al.	PQ186357	https://www.ncbi.nlm.nih.gov/nuccore/PQ186357
PQ186346	1983-09-27 (1983-01-01 - 1983-12-31)	Clade IV	Africa	Burkina Faso	Homo sapiens	Zhang et al.	PQ186346	https://www.ncbi.nlm.nih.gov/nuccore/PQ186346
KU978765	1965-08-23	Clade V	Africa	Guinea-Bissau	Homo sapiens	Guerbois et al.	KU978765	https://www.ncbi.nlm.nih.gov/nuccore/KU978765
PQ441953	1965-12-31 (1965-04-17 - 1965-12-31)	Clade V	Africa	Senegal	Homo sapiens	Peng et al.	PQ441953	https://www.ncbi.nlm.nih.gov/nuccore/PQ441953
PQ186347	2022-01-01 (2022-01-01 - 2022-11-25)	Clade V	Africa	Senegal	Macaca mulatta	Zhang et al.	PQ186347	https://www.ncbi.nlm.nih.gov/nuccore/PQ186347
JX898876	2001-01-01 (2001-01-01 - 2001-11-25)	Clade V	Africa	Senegal	Aedes furcifer	Stock et al.	JX898876	https://www.ncbi.nlm.nih.gov/nuccore/JX898876
PQ186355	1979-12-31 (1979-05-13 - 1979-12-31)	Clade V	Africa	Senegal	Homo sapiens	Zhang et al.	PQ186355	https://www.ncbi.nlm.nih.gov/nuccore/PQ186355
MK060080	1979-10-30	Clade V	Africa	Senegal	Homo sapiens	Amraoui et al.	MK060080	https://www.ncbi.nlm.nih.gov/nuccore/MK060080
JX898881	2005-01-09 (2005-01-01 - 2005-12-31)	Clade V	Africa	Senegal	Aedes luteocephalus	Stock et al.	JX898881	https://www.ncbi.nlm.nih.gov/nuccore/JX898881
JX898878	2005-01-09 (2005-01-01 - 2005-12-31)	Clade V	Africa	Senegal	Aedes furcifer	Stock et al.	JX898878	https://www.ncbi.nlm.nih.gov/nuccore/JX898878
JX898879	2005-01-09 (2005-01-01 - 2005-12-31)	Clade V	Africa	Senegal	Aedes taylori	Stock et al.	JX898879	https://www.ncbi.nlm.nih.gov/nuccore/JX898879
JX898880	2005-01-09 (2005-01-01 - 2005-12-31)	Clade V	Africa	Senegal	Aedes luteocephalus	Stock et al.	JX898880	https://www.ncbi.nlm.nih.gov/nuccore/JX898880
JX898877	2005-01-09 (2005-01-01 - 2005-12-31)	Clade V	Africa	Senegal	Aedes furcifer	Stock et al.	JX898877	https://www.ncbi.nlm.nih.gov/nuccore/JX898877
JX898870	1996-01-01 (1996-01-01 - 1996-11-14)	Clade V	Africa	Senegal	Aedes furcifer	Stock et al.	JX898870	https://www.ncbi.nlm.nih.gov/nuccore/JX898870
JX898868	1995-12-31 (1995-02-13 - 1995-12-31)	Clade V	Africa	Senegal	Homo sapiens	Stock et al.	JX898868	https://www.ncbi.nlm.nih.gov/nuccore/JX898868
OM066735	2021-10-26	Clade V	Africa	Ghana	Homo sapiens	Bonney et al.	OM066735	https://www.ncbi.nlm.nih.gov/nuccore/OM066735
OM066737	2021-11-04	Clade V	Africa	Ghana	Homo sapiens	Bonney et al.	OM066737	https://www.ncbi.nlm.nih.gov/nuccore/OM066737
OM066736	2021-11-04	Clade V	Africa	Ghana	Homo sapiens	Bonney et al.	OM066736	https://www.ncbi.nlm.nih.gov/nuccore/OM066736
