strain	date	PPX_accession	PPX_accession__url	INSDC_accession	INSDC_accession__url	dataUseTerms	dataUseTerms__url	region	country	clades	old_nomenclature	insertion	author	accession	division
USA/PP_002D4G4.2/1998-02	1998-02-01 (1998-02-01 - 1998-02-25)	PP_002D4G4.2	https://pathoplexus.org/seq/PP_002D4G4.2	JN184401.1	https://www.ncbi.nlm.nih.gov/nuccore/JN184401.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Piyaratna, R.; Tollefson, S. J.; Williams, J. V.; Piyaratna, R. V.	PP_002D4G4	
USA/PP_002DQRZ.2/1991-02-26	1991-02-26	PP_002DQRZ.2	https://pathoplexus.org/seq/PP_002DQRZ.2	KC403974.1	https://www.ncbi.nlm.nih.gov/nuccore/KC403974.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Lorenzi, H.; Town, C.; Halpin, R.; Nguyen, A.; Bera, J.; Fedorova, N.; Tsitrin, T.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Wentworth, D. E.; Williams, J. V.	PP_002DQRZ	Nashville
USA/PP_002DRVQ.2/1999-04-27	1999-04-27	PP_002DRVQ.2	https://pathoplexus.org/seq/PP_002DRVQ.2	KC562234.1	https://www.ncbi.nlm.nih.gov/nuccore/KC562234.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Lorenzi, H.; Town, C.; Halpin, R.; Nguyen, A.; Bera, J.; Fedorova, N.; Tsitrin, T.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Wentworth, D. E.; Williams, J. V.	PP_002DRVQ	Nashville
USA/PP_002DRHE.2/1993-03-01	1993-03-01	PP_002DRHE.2	https://pathoplexus.org/seq/PP_002DRHE.2	KC562223.1	https://www.ncbi.nlm.nih.gov/nuccore/KC562223.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Lorenzi, H.; Town, C.; Halpin, R.; Nguyen, A.; Bera, J.; Fedorova, N.; Tsitrin, T.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Wentworth, D. E.; Williams, J. V.	PP_002DRHE	Nashville
Australia/PP_002E5TC.2/2004-09-01	2004-09-01	PP_002E5TC.2	https://pathoplexus.org/seq/PP_002E5TC.2	KF530165.1	https://www.ncbi.nlm.nih.gov/nuccore/KF530165.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Lorenzi, H.; Town, C.; Halpin, R.; Nguyen, A.; Bera, J.; Fedorova, N.; Tsitrin, T.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Mackay, I. M.; Sloots, T. P.; Nissen, M. D.; Wentworth, D. E.; Williams, J. V.	PP_002E5TC	Queensland
Australia/PP_002DRRY.2/2004-03-05	2004-03-05	PP_002DRRY.2	https://pathoplexus.org/seq/PP_002DRRY.2	KC562230.1	https://www.ncbi.nlm.nih.gov/nuccore/KC562230.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Lorenzi, H.; Town, C.; Halpin, R.; Nguyen, A.; Bera, J.; Fedorova, N.; Tsitrin, T.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Mackay, I. M.; Sloots, T. P.; Nissen, M. D.; Wentworth, D. E.; Williams, J. V.	PP_002DRRY	Queensland
Australia/PP_002E5RG.2/2004-07-06	2004-07-06	PP_002E5RG.2	https://pathoplexus.org/seq/PP_002E5RG.2	KF530163.1	https://www.ncbi.nlm.nih.gov/nuccore/KF530163.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Oceania	Australia	B1	B1	False	Lorenzi, H.; Town, C.; Halpin, R.; Nguyen, A.; Bera, J.; Fedorova, N.; Tsitrin, T.; Stockwell, T.; Amedeo, P.; Appalla, L.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Mackay, I. M.; Sloots, T. P.; Nissen, M. D.; Wentworth, D. E.; Williams, J. V.	PP_002E5RG	Queensland
South_Korea/PP_002E5F3.1/2011-08-10	2011-08-10	PP_002E5F3.1	https://pathoplexus.org/seq/PP_002E5F3.1	KF516922.1	https://www.ncbi.nlm.nih.gov/nuccore/KF516922.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Asia	South Korea	B1	B1	False	Song, K.-J.; Kwak, E. J.; Moon, K. M.; Lee, C. K.; Park, K. S.	PP_002E5F3	
USA/PP_002E6G0.2/2010-01-17	2010-01-17	PP_002E6G0.2	https://pathoplexus.org/seq/PP_002E6G0.2	KF530185.1	https://www.ncbi.nlm.nih.gov/nuccore/KF530185.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	North America	USA	B1	B1	False	Lorenzi, H.; Halpin, R.; Nguyen, A.; Bera, J.; Fedorova, N.; Overton, L.; Stockwell, T.; Amedeo, P.; Bishop, B.; Edworthy, P.; Gupta, N.; Katzel, D.; Li, K.; Schobel, S.; Shrivastava, S.; Thovarai, V.; Wang, S.; Kumar, S.; Fan, J.; Beck, E. T.; Bose, M. E.; Wentworth, D. E.; Henrickson, K. J.	PP_002E6G0	Milwaukee
Kenya/PP_002GBNC.1/2012-08-25	2012-08-25	PP_002GBNC.1	https://pathoplexus.org/seq/PP_002GBNC.1	MK588636.1	https://www.ncbi.nlm.nih.gov/nuccore/MK588636.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	Africa	Kenya	B1	B1	False	Kamau, E.; Oketch, J.; de Laurent, Z. R.; Agoti, C. N.; Phan, M. V. T.; Nokes, D. J.; Cotten, M.	PP_002GBNC	
Peru/PP_002E9QE.2/2008-11-22	2008-11-22	PP_002E9QE.2	https://pathoplexus.org/seq/PP_002E9QE.2	KJ627383.1	https://www.ncbi.nlm.nih.gov/nuccore/KJ627383.1	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	South America	Peru	B1	B1	False	Wentworth, D. E.; Halpin, R. A.; Bera, J.; Lin, X.; Fedorova, N.; Tsitrin, T.; McLellan, M.; Stockwell, T.; Amedeo, P.; Bishop, B.; Edworthy, P.; Gupta, N.; Hoover, J.; Katzel, D.; Schobel, S.; Shrivastava, S.; Garcia, J.; Laguna-Torres, V. A.; Leguia, M.; Benavides, J. G.; Halsey, E.	PP_002E9QE	Piura
